Counter,YLeftRaw,YLeft^2,YLeft^3,lefthalo, vlefthalo,vlefthalo^2,Deadband,Exoscale
208,-0.2578125,0.06646728515625,-0.017136096954345703,-0.10142844970840757,-0.2535711242710189,0.06429831506406851,0.02,0.62793
209,-0.2578125,0.06646728515625,-0.017136096954345703,-0.10142844970840757,-0.2535711242710189,0.06429831506406851,0.02,0.62793
210,-0.2578125,0.06646728515625,-0.017136096954345703,-0.10142844970840757,-0.2535711242710189,0.06429831506406851,0.02,0.62793
211,-0.2578125,0.06646728515625,-0.017136096954345703,-0.10142844970840757,-0.2535711242710189,0.06429831506406851,0.02,0.62793
212,-0.265625,0.070556640625,-0.018741607666015625,-0.10537009786338661,-0.2634252446584665,0.06939285952337294,0.02,0.62793
213,-0.265625,0.070556640625,-0.018741607666015625,-0.10537009786338661,-0.2634252446584665,0.06939285952337294,0.02,0.62793
214,-0.265625,0.070556640625,-0.018741607666015625,-0.10537009786338661,-0.2634252446584665,0.06939285952337294,0.02,0.62793
215,-0.265625,0.070556640625,-0.018741607666015625,-0.10537009786338661,-0.2634252446584665,0.06939285952337294,0.02,0.62793
216,-0.2734375,0.07476806640625,-0.020444393157958984,-0.10937085109009902,-0.2734271277252475,0.07476239417607883,0.02,0.62793
217,-0.2734375,0.07476806640625,-0.020444393157958984,-0.10937085109009902,-0.2734271277252475,0.07476239417607883,0.02,0.62793
218,-0.2734375,0.07476806640625,-0.020444393157958984,-0.10937085109009902,-0.2734271277252475,0.07476239417607883,0.02,0.62793
219,-0.2734375,0.07476806640625,-0.020444393157958984,-0.10937085109009902,-0.2734271277252475,0.07476239417607883,0.02,0.62793
220,-0.28125,0.0791015625,-0.022247314453125,-0.11343258932085183,-0.28358147330212957,0.08041845200020643,0.02,0.62793
221,-0.28125,0.0791015625,-0.022247314453125,-0.11343258932085183,-0.28358147330212957,0.08041845200020643,0.02,0.62793
222,-0.28125,0.0791015625,-0.022247314453125,-0.11343258932085183,-0.28358147330212957,0.08041845200020643,0.02,0.62793
223,-0.2890625,0.08355712890625,-0.02415323257446289,-0.11755719248795211,-0.2938929812198803,0.0863730844103089,0.02,0.62793
224,-0.2890625,0.08355712890625,-0.02415323257446289,-0.11755719248795211,-0.2938929812198803,0.0863730844103089,0.02,0.62793
225,-0.2890625,0.08355712890625,-0.02415323257446289,-0.11755719248795211,-0.2938929812198803,0.0863730844103089,0.02,0.62793
